,Object,x_perturb,y_perturb,successes,trials
0,BakingSoda_800_tex.urdf,-0.02,-0.02,24.0,50.0
1,BakingSoda_800_tex.urdf,-0.01,-0.02,20.0,50.0
2,BakingSoda_800_tex.urdf,0.0,-0.02,27.0,50.0
3,BakingSoda_800_tex.urdf,0.01,-0.02,23.0,50.0
4,BakingSoda_800_tex.urdf,0.02,-0.02,21.0,50.0
5,BakingSoda_800_tex.urdf,-0.02,-0.01,25.0,50.0
6,BakingSoda_800_tex.urdf,-0.01,-0.01,22.0,50.0
7,BakingSoda_800_tex.urdf,0.0,-0.01,22.0,50.0
8,BakingSoda_800_tex.urdf,0.01,-0.01,28.0,50.0
9,BakingSoda_800_tex.urdf,0.02,-0.01,22.0,50.0
10,BakingSoda_800_tex.urdf,-0.02,0.0,19.0,50.0
11,BakingSoda_800_tex.urdf,-0.01,0.0,27.0,50.0
12,BakingSoda_800_tex.urdf,0.0,0.0,25.0,50.0
13,BakingSoda_800_tex.urdf,0.01,0.0,30.0,50.0
14,BakingSoda_800_tex.urdf,0.02,0.0,21.0,50.0
15,BakingSoda_800_tex.urdf,-0.02,0.01,24.0,50.0
16,BakingSoda_800_tex.urdf,-0.01,0.01,30.0,50.0
17,BakingSoda_800_tex.urdf,0.0,0.01,24.0,50.0
18,BakingSoda_800_tex.urdf,0.01,0.01,30.0,50.0
19,BakingSoda_800_tex.urdf,0.02,0.01,30.0,50.0
20,BakingSoda_800_tex.urdf,-0.02,0.02,18.0,50.0
21,BakingSoda_800_tex.urdf,-0.01,0.02,28.0,50.0
22,BakingSoda_800_tex.urdf,0.0,0.02,24.0,50.0
23,BakingSoda_800_tex.urdf,0.01,0.02,23.0,50.0
24,BakingSoda_800_tex.urdf,0.02,0.02,23.0,50.0
25,BakingVanilla_800_tex.urdf,-0.02,-0.02,26.0,50.0
26,BakingVanilla_800_tex.urdf,-0.01,-0.02,29.0,50.0
27,BakingVanilla_800_tex.urdf,0.0,-0.02,27.0,50.0
28,BakingVanilla_800_tex.urdf,0.01,-0.02,22.0,50.0
29,BakingVanilla_800_tex.urdf,0.02,-0.02,31.0,50.0
30,BakingVanilla_800_tex.urdf,-0.02,-0.01,29.0,50.0
31,BakingVanilla_800_tex.urdf,-0.01,-0.01,30.0,50.0
32,BakingVanilla_800_tex.urdf,0.0,-0.01,28.0,50.0
33,BakingVanilla_800_tex.urdf,0.01,-0.01,30.0,50.0
34,BakingVanilla_800_tex.urdf,0.02,-0.01,29.0,50.0
35,BakingVanilla_800_tex.urdf,-0.02,0.0,32.0,50.0
36,BakingVanilla_800_tex.urdf,-0.01,0.0,26.0,50.0
37,BakingVanilla_800_tex.urdf,0.0,0.0,30.0,50.0
38,BakingVanilla_800_tex.urdf,0.01,0.0,27.0,50.0
39,BakingVanilla_800_tex.urdf,0.02,0.0,28.0,50.0
40,BakingVanilla_800_tex.urdf,-0.02,0.01,24.0,50.0
41,BakingVanilla_800_tex.urdf,-0.01,0.01,27.0,50.0
42,BakingVanilla_800_tex.urdf,0.0,0.01,33.0,50.0
43,BakingVanilla_800_tex.urdf,0.01,0.01,26.0,50.0
44,BakingVanilla_800_tex.urdf,0.02,0.01,33.0,50.0
45,BakingVanilla_800_tex.urdf,-0.02,0.02,31.0,50.0
46,BakingVanilla_800_tex.urdf,-0.01,0.02,32.0,50.0
47,BakingVanilla_800_tex.urdf,0.0,0.02,25.0,50.0
48,BakingVanilla_800_tex.urdf,0.01,0.02,29.0,50.0
49,BakingVanilla_800_tex.urdf,0.02,0.02,24.0,50.0
50,BroccoliSoup_800_tex.urdf,-0.02,-0.02,42.0,50.0
51,BroccoliSoup_800_tex.urdf,-0.01,-0.02,45.0,50.0
52,BroccoliSoup_800_tex.urdf,0.0,-0.02,46.0,50.0
53,BroccoliSoup_800_tex.urdf,0.01,-0.02,47.0,50.0
54,BroccoliSoup_800_tex.urdf,0.02,-0.02,44.0,50.0
55,BroccoliSoup_800_tex.urdf,-0.02,-0.01,47.0,50.0
56,BroccoliSoup_800_tex.urdf,-0.01,-0.01,47.0,50.0
57,BroccoliSoup_800_tex.urdf,0.0,-0.01,46.0,50.0
58,BroccoliSoup_800_tex.urdf,0.01,-0.01,48.0,50.0
59,BroccoliSoup_800_tex.urdf,0.02,-0.01,43.0,50.0
60,BroccoliSoup_800_tex.urdf,-0.02,0.0,46.0,50.0
61,BroccoliSoup_800_tex.urdf,-0.01,0.0,47.0,50.0
62,BroccoliSoup_800_tex.urdf,0.0,0.0,48.0,50.0
63,BroccoliSoup_800_tex.urdf,0.01,0.0,46.0,50.0
64,BroccoliSoup_800_tex.urdf,0.02,0.0,46.0,50.0
65,BroccoliSoup_800_tex.urdf,-0.02,0.01,47.0,50.0
66,BroccoliSoup_800_tex.urdf,-0.01,0.01,43.0,50.0
67,BroccoliSoup_800_tex.urdf,0.0,0.01,49.0,50.0
68,BroccoliSoup_800_tex.urdf,0.01,0.01,45.0,50.0
69,BroccoliSoup_800_tex.urdf,0.02,0.01,46.0,50.0
70,BroccoliSoup_800_tex.urdf,-0.02,0.02,46.0,50.0
71,BroccoliSoup_800_tex.urdf,-0.01,0.02,43.0,50.0
72,BroccoliSoup_800_tex.urdf,0.0,0.02,45.0,50.0
73,BroccoliSoup_800_tex.urdf,0.01,0.02,46.0,50.0
74,BroccoliSoup_800_tex.urdf,0.02,0.02,49.0,50.0
75,CatLying_800_tex.urdf,-0.02,-0.02,50.0,50.0
76,CatLying_800_tex.urdf,-0.01,-0.02,50.0,50.0
77,CatLying_800_tex.urdf,0.0,-0.02,50.0,50.0
78,CatLying_800_tex.urdf,0.01,-0.02,50.0,50.0
79,CatLying_800_tex.urdf,0.02,-0.02,50.0,50.0
80,CatLying_800_tex.urdf,-0.02,-0.01,50.0,50.0
81,CatLying_800_tex.urdf,-0.01,-0.01,50.0,50.0
82,CatLying_800_tex.urdf,0.0,-0.01,50.0,50.0
83,CatLying_800_tex.urdf,0.01,-0.01,50.0,50.0
84,CatLying_800_tex.urdf,0.02,-0.01,50.0,50.0
85,CatLying_800_tex.urdf,-0.02,0.0,50.0,50.0
